X, Y
Point
0, 0
New Line
-7.105427357601E-15, 41.25
33.5, 41.25
New Line
33.5, 41.25
33.5, -41.25
New Line
37.5, -41.25
37.5, 41.25
New Line
41.5, 41.25
41.5, -41.25
New Line
41.5, -33.25
45.5, -33.25
New Line
45.5, -41.25
45.5, 41.25
New Line
61.875, -41.25
61.875, 41.25
New Line
-7.105427357601E-15, -41.25
33.5, -41.25
New Spline
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
Point
17, 0
New Circle
22, 0
21.9997500020833, 0.0499991666708333
21.9990000333329, 0.0999933334666654
21.9977501687449, 0.149977501012478
21.9960005333049, 0.199946670933171
21.9937513019748, 0.249895846353392
21.991002699676, 0.299820032397223
21.9877550012664, 0.349714236687664
21.9840085315131, 0.399573469845864
21.97976366506, 0.449392745990055
21.9750208263901, 0.499167083234141
21.9697804897835, 0.548891504185874
21.9640431792693, 0.598561036444597
21.9578094685739, 0.648170713098474
21.9510799810632, 0.697715573221182
21.9438553896802, 0.747190662367996
21.9361364168781, 0.79659103307123
21.9279238345478, 0.84591174533498
21.9192184639406, 0.895147867129121
21.9100211755864, 0.944294474882503
21.9003328892062, 0.993346653975306
21.8901545736207, 1.0422994992305
21.879487246653, 1.09114811540435
21.8683319750269, 1.13988761767594
21.8566898742601, 1.18851313213567
21.8445621085532, 1.23701979627262
21.8319498906726, 1.28540275946078
21.8188544818295, 1.33365718344416
21.8052771915539, 1.38177824282057
21.7912193775635, 1.42976112552418
21.776682445628, 1.4776010333067
21.7616678494286, 1.52529318221722
21.7461770904122, 1.57283280308059
21.7302117176419, 1.62021514197434
21.7137733276417, 1.66743546070407
21.6968635642369, 1.71448903727726
21.6794841183897, 1.76137116637545
21.6616367280302, 1.80807715982481
21.6433231778826, 1.85460234706491
21.6245452992866, 1.90094207561581
21.6053049700144, 1.94709171154325
21.585604114083, 1.99304663992212
21.5654447015615, 2.03880226529785
21.5448287483744, 2.08435401214606
21.5237583160998, 2.12969732533
21.5022355117634, 2.17482767055615
21.4802624876276, 2.2197405348276
21.4578414409766, 2.26443142689534
21.4349746138964, 2.30889587770742
21.4116642930506, 2.35312944085579
21.3879128094519, 2.39712769302102
21.3637225382288, 2.44088623441454
21.3390958983882, 2.48440068921868
21.3140353525738, 2.52766670602424
21.2885434068191, 2.57067995826557
21.2626226102975, 2.6134361446533
21.2362755550671, 2.65593098960442
21.2095048758113, 2.69816024366985
21.1823132495759, 2.74011968395937
21.1547033955008, 2.78180511456392
21.1266780745484, 2.82321236697518
21.0982400892274, 2.86433730050241
21.0693922833127, 2.90517580268653
21.0401375415608, 2.94572378971135
21.0104787894215, 2.98597720681196
20.9804189927453, 3.0259320286802
20.9499611574868, 3.06558425986717
20.9191083294042, 3.1049299351828
20.8878635937546, 3.14396512009234
20.8562300749855, 3.18268591110984
20.8242109364224, 3.22108843618846
20.7918093799525, 3.25916885510768
20.7590286457045, 3.29692335985737
20.7258720117243, 3.33434817501849
20.6923427936479, 3.37143955814073
20.6584443443691, 3.40819380011667
20.6241800537045, 3.44460722555276
20.5895533480547, 3.48067619313679
20.5545676900614, 3.51639709600205
20.5192265782612, 3.55176636208804
20.4835335467358, 3.58678045449762
20.4474921647587, 3.62143587185071
20.4111060364381, 3.65572914863448
20.3743788003563, 3.68965685554982
20.3373141292065, 3.7232155998543
20.2999157294249, 3.75640202570147
20.2621873408203, 3.78921281447639
20.2241327362, 3.82164468512753
20.1857557209929, 3.85369439449485
20.1470601328685, 3.88535873763412
20.1080498413533, 3.91663454813742
20.0687287474441, 3.94751869844975
20.0291007832173, 3.97800810018183
19.9891699114365, 4.00809970441889
19.9489401251555, 4.03779050202557
19.9084154473194, 4.06707752394687
19.8675999303623, 4.09595784150499
19.8264976558018, 4.12442856669225
19.7851127338311, 4.15248685245985
19.7434493029079, 4.1801298930026
19.7015115293407, 4.20735492403948
19.6593036068718, 4.23415922309008
19.6168297562582, 4.26054010974682
19.5740942248498, 4.28649494594302
19.5311012861639, 4.31202113621669
19.4878552394586, 4.33711612797009
19.4443604093026, 4.36177741172493
19.4006211451427, 4.38600252137341
19.3566418208687, 4.40978903442474
19.3124268343765, 4.43313457224744
19.2679806071279, 4.45603680030718
19.2233075837085, 4.47849342840024
19.1784122313836, 4.50050221088253
19.1332990396508, 4.52206094689413
19.0879725197918, 4.54316748057942
19.0424372044208, 4.56381970130261
18.9966976470314, 4.58401554385884
18.9507584215411, 4.60375298868068
18.9046241218344, 4.6230300620401
18.8582993613027, 4.64184483624584
18.8117887723834, 4.66019542983613
18.7650970060966, 4.67808000776693
18.7182287315802, 4.69549678159534
